"dataset","method","split_id","carat","depth","table","x","y","z","cut_Good","cut_Ideal","cut_Premium","cut_Very.Good","color_E","color_F","color_G","color_H","color_I","color_J","clarity_IF","clarity_SI1","clarity_SI2","clarity_VS1","clarity_VS2","clarity_VVS1","clarity_VVS2"
"diamond","uni_loo",51,7758.34259711258,-11.8125157583143,228.414060398268,3137.90661661046,2878.23220642075,4717.15789714137,-12.6912608802416,-761.277056823209,825.351286088652,45.4970667868831,-1029.04117222623,-323.344806859767,71.6900886551097,581.03720187144,1447.44712499986,1580.80058331576,-1190.67403191174,60.5808503968636,1368.12457685496,-86.6042329731257,10.689036825209,-1547.59565038647,-658.830995226302
"diamond","uni_loo",52,7766.50275780138,-29.5954381876146,221.759368105039,3156.62151049926,2951.28318153725,4741.6594334555,-88.836217456533,-760.814631704827,882.96743653666,29.8456729598319,-1118.06755329075,-140.952861459397,159.707400258367,556.321742048062,1264.46124817017,1454.95825465678,-1337.68649168462,44.7564814986067,1397.22866237768,-82.5693187223083,-13.1111161517355,-1475.32428321929,-677.251798693041
"diamond","uni_loo",53,7771.92792999176,-34.1127306226756,229.975420981272,3136.44115416275,3168.08289287731,5004.84753626969,44.9998886247812,-783.682250693365,815.211939439891,137.519593885864,-1114.4174620042,-159.209460414355,57.2568217627333,629.00825190357,1437.04293400242,1385.33262913854,-1170.27738379371,107.468282640534,1351.89982797831,-77.4918813559198,-26.1935515796721,-1486.4330983423,-726.404728697507
"diamond","uni_loo",54,7789.03873554947,0.217844004071014,216.774909594155,3165.99444192513,3194.03471689902,4761.19102996425,82.5882178555051,-784.030956785075,804.605225727041,91.7406302492094,-1028.75543621169,-222.677081177352,159.772362180911,624.293807570253,1206.68232302215,1522.81005251588,-980.814528695169,36.049189608147,1396.14977468727,-137.410749144101,-33.4613305698677,-1417.70744289425,-695.06292608194
"diamond","uni_loo",55,7744.46523682715,-38.6159981695211,216.805630350517,3144.58219866062,2936.4017199061,4702.07663902233,-59.434819863539,-756.964494453501,838.864949627046,65.9112326226601,-1058.38078923973,-217.543805437078,95.9009295966505,676.581088780524,1234.40080824013,1372.28064496977,-929.449140561284,70.6069274601999,1372.11157473775,-162.411123302396,-24.4443809891462,-1464.08164742056,-706.799967949771
"diamond","uni_loo",56,7767.22813884533,-41.4748818615822,231.876434439254,3149.06399393308,2887.92931695683,4723.16145613129,-64.3372858296556,-780.349298506773,856.047591689954,105.273700325973,-1065.88799051157,-231.321308545521,52.1844816670176,657.929607165624,1355.2331325413,1423.16014081085,-1147.98250683149,114.216432438302,1447.23609516086,-96.1022195435218,-25.2566813047003,-1627.60148831024,-817.408396440178
"diamond","uni_loo",57,7702.23551766861,-23.1657484346136,223.337084605657,3132.52001290586,2873.29031028436,4976.99222549473,-3.65235707097442,-809.971370140091,894.174941679184,65.5102837794758,-1001.9063978515,-326.204562470673,79.4027578672007,650.478877922893,1241.42862514535,1510.28882944365,-1080.40172884789,79.8032857485776,1388.24843407732,-47.3393541667441,-51.2172316376011,-1547.2563849069,-799.669055054732
"diamond","uni_loo",58,7806.86394737367,-40.8023913052562,226.094881523971,3162.96136010622,2955.29298985586,5023.36162949068,68.943380687078,-780.467588117245,854.830211520142,39.6424556195164,-994.045838399682,-219.778179476959,47.6564835004584,644.931799573895,1251.5907152153,1283.49480645528,-864.765680243441,143.874248846006,1222.85793115426,-76.0213847885913,-74.9792828980175,-1437.70669853843,-654.591002678928
"diamond","uni_loo",59,7779.48650149456,-44.7319301306557,216.464694358,3150.97186642388,3118.67824320746,5020.26274875879,39.6371917425958,-759.255504623451,831.287450323713,55.43314956228,-1022.27201540626,-271.07715674296,70.5598420212931,618.783123650695,1372.30753711516,1423.70197089174,-1002.06749555126,76.8075216386623,1326.80704217722,-45.6509316392222,-53.2715902295187,-1490.95333253636,-665.846941499214
"diamond","uni_loo",60,7724.00186041847,-40.951780307664,235.338644885973,3145.83440433163,3111.3027836814,4739.76426512446,91.0943741132994,-788.512942737672,900.043869622344,5.72833861379208,-1082.8193526345,-173.603848050074,57.426875357617,640.716546722957,1338.66577907398,1431.86303444225,-1271.94192604181,106.765912384579,1450.7004140811,-164.431461417984,-24.5021761255057,-1593.44391499051,-697.486828382974
"diamond","uni_loo",61,7778.62159730087,-60.6444696813877,238.071449352785,3161.36728477321,3125.4152745723,5069.45599308668,-81.7384493587741,-816.95124624791,960.745024285839,54.5381389923031,-1026.60920075817,-307.128827138991,66.2445752043464,758.196570810135,1310.20744504785,1364.24324600396,-926.007630251685,109.682830058227,1369.01863507507,-110.049950058695,-31.1422472616295,-1543.91259354445,-780.658887475782
"diamond","uni_loo",62,7774.30792117131,-42.3739474259099,237.318410643446,3150.08611655434,2888.15914234627,4734.60000235781,-73.9350747098433,-747.199744942471,821.212224852266,88.574742984857,-1107.31268757714,-182.259224060188,45.9353096228464,703.804653335312,1340.77175567521,1361.67400536256,-1114.91765545242,103.070047958451,1335.85587614329,-31.3704373844628,-47.9497846159113,-1571.9622665718,-706.424874981933
"diamond","uni_loo",63,7740.45032391439,-24.897094730821,228.52272657926,3130.88106166765,2873.09171387173,5001.54404659289,-69.4505348084406,-799.049164628263,890.322524070449,84.9746303126802,-1057.29574376901,-230.963157604464,24.928507845494,601.100034256655,1410.07985704132,1352.74515148659,-1155.62347439865,99.3691298931389,1329.66509517603,-81.5380199337158,-21.9331462054719,-1519.7539161521,-680.237406965634
"diamond","uni_loo",64,7796.24499964162,-32.5642737617697,248.713030078428,3155.20162844132,3122.76382401928,4734.42199254444,59.5233409748308,-858.318098522109,882.270565100851,115.226358593359,-1073.74468863085,-286.756772717835,116.80629926086,698.042123854646,1271.04010717006,1395.05542705734,-1148.18354158322,119.555837464442,1315.04829263029,-106.329305435543,-2.73844769342931,-1524.4338422992,-703.363110240828
"diamond","uni_loo",65,7792.58269845582,-6.54911408243594,216.887205885295,3157.70951854354,2948.71108857464,4744.34572658011,28.2348593369109,-767.430101248672,827.260224732092,70.9872090977054,-1091.28137612747,-269.071835343431,111.463861419548,599.943796887153,1399.13788744345,1420.11125558933,-983.39868927331,7.48364331636451,1328.49387850811,24.3607222025438,-2.52645789648789,-1505.15413505776,-739.999501272698
"diamond","uni_loo",66,7742.50531284273,-36.1882902230407,231.293156670716,3134.49501674102,2931.09275006347,4993.96358065848,-16.9722837322875,-812.284637215646,863.676147317815,115.612463160065,-1091.17397057181,-186.633520596186,179.986378986834,628.984125477652,1239.85440716046,1421.18645892405,-1115.07805607763,122.985087962002,1307.78963921267,-99.6680470249569,-52.1892554353775,-1536.45496779486,-604.010966346946
"diamond","uni_loo",67,7716.29518621763,-31.4670532777071,230.500348431416,3132.48199262186,3096.30146120086,5014.73387798158,71.4673209528685,-859.984800996312,875.650731981635,129.746112128233,-1016.12921433978,-257.923564916446,76.6330773124814,647.484943743535,1182.12464962327,1529.30970401063,-932.053114552044,84.376154560203,1332.75760991515,-41.2239300237114,-47.7294893582958,-1601.25754683643,-707.669466813327
