"dataset","method","split_id","LATITUDE","LONGITUDE","LND_SQFOOT","TOT_LVG_AREA","SPEC_FEAT_VAL","RAIL_DIST","OCEAN_DIST","WATER_DIST","CNTR_DIST","SUBCNTR_DI","HWY_DIST","age","avno60plus_1","month_sold_2","month_sold_3","month_sold_4","month_sold_5","month_sold_6","month_sold_7","month_sold_8","month_sold_9","month_sold_10","month_sold_11","month_sold_12","structure_quality_2","structure_quality_3","structure_quality_4","structure_quality_5"
"miami_housing","uni_loo",41,103218.540107087,665527.689602029,18.4521099950494,255.083329066219,11.1847481597475,-4.08025429622903,-4.67139404856689,-3.27671343386009,-2.61126354999448,-5.15099271648292,12.0002069807768,-1981.3576240952,-59874.7211467063,-8219.23567220938,-5964.02587547211,9513.79893862525,23084.510303714,27950.7569505846,-3772.96276063341,-2444.84154391755,-18262.0166839003,-38581.4684500447,21270.6206982727,-6715.43032234893,-185507.628273431,1195239.64511494,-37541.5284955633,403243.579986591
"miami_housing","uni_loo",42,104612.190365132,689446.016302652,17.6474436369722,258.246969644788,11.4165569704364,-3.34191184509224,-4.83720719846205,-3.21197059431523,-2.60805570751388,-5.1688818592038,12.6114044221991,-1809.73162422087,-74599.8618798906,-26377.8977111616,-12276.2542156686,16321.782244252,22090.5171422857,16131.3599948641,-20615.5248536128,9273.89177581962,-8058.79077747991,-2834.43766021028,12372.5496399798,-6356.68411363456,-184579.164636684,1426518.60112117,-33539.7773302165,395170.712979465
"miami_housing","uni_loo",43,118649.17130765,714857.943832099,17.5481193748173,254.08551524917,10.7332971180698,-2.80554550274762,-4.80777965669168,-3.45611241690456,-2.64518500671365,-5.08750030639096,12.0948746767028,-1805.53474722059,-77262.4955172827,-23137.562498305,5286.50266577349,2901.06297403321,2363.78182082822,10567.4432673721,-6834.79647836466,-6544.12373499307,-13723.8631372191,1205.14043800893,21206.9163173843,3819.88140614207,-182837.670114442,1374220.94767108,-36692.8901110982,376687.155273775
"miami_housing","uni_loo",44,94709.6774565558,680078.975607265,20.0963729387761,265.558292680915,11.813459841777,-3.86458975199504,-5.03635223119553,-3.39422727702835,-2.67345387556833,-5.34142595480727,12.8134732063174,-1832.15593668431,-69605.5657291804,1487.66118403836,-34894.2694389744,-21733.0093260195,53456.0932160328,32148.5637543804,-23908.8346256206,-14989.9595600494,909.952638707218,-816.023084136362,30359.0003189268,-17652.5050300459,-188184.326419753,1573575.26099809,-44563.3145867219,407518.271924929
"miami_housing","uni_loo",45,92837.7696694271,686723.801096838,20.3537676599007,262.428506593814,11.6547804241906,-3.80808544813288,-5.09064780630309,-3.4890801124971,-2.67861325698091,-5.33419230806392,12.5067879593076,-1776.12886680661,-78545.5283694589,-14176.4011163158,-13520.9004479403,-7795.12908291462,25552.5503679566,29305.6209601714,-16200.3190521029,-3790.396532359,-9693.305222928,14091.7849219153,10659.0357462937,-14353.8174526503,-183638.477994892,1322813.25531609,-32228.8396331028,399476.031143063
"miami_housing","uni_loo",46,121035.594959567,732843.248320548,19.7238000037108,261.160481813218,11.4328705299201,-3.3495250812093,-4.90848467021912,-3.48355297074416,-2.76970770901441,-5.38521109007332,12.3216646718227,-1750.57251866323,-67027.7970111302,-2275.41480218769,-197.10818600494,-2132.62859374604,38123.5139534301,23667.7600142614,-21634.0207359961,-1911.48584097749,-10150.6916582243,-8954.86487861315,-2833.95792879384,-5221.12765783903,-186294.186792037,1524674.08594424,-43659.6664500843,408994.415141451
"miami_housing","uni_loo",47,97034.6761818732,637822.013670569,17.6116618701367,255.424128866481,10.771902515775,-3.07883308744711,-4.69018278974298,-3.0830465712766,-2.48723822830989,-5.05513636596615,11.8597293737244,-1935.40580823296,-65469.3916393741,-8892.60444172996,-582.343769617912,-7415.45840679008,22145.717508616,19556.2199968208,10485.2483946338,-4079.26674120276,-7105.91883567823,-9540.51543768007,5774.01797543089,-4233.46185967415,-176695.631527948,1484227.86303451,-34295.9775367364,406473.918756656
"miami_housing","uni_loo",48,100374.003010905,681119.109711916,18.4570790513939,257.011688412711,11.0406140881238,-3.90103448685222,-4.88724492542227,-3.3374297369059,-2.63173766522293,-5.17270357997596,11.9606208391489,-1779.72380651562,-76173.7637634722,-507.264244254033,-16600.0779608512,289.017531704809,14837.79494212,21988.3489425016,-3748.8764753418,697.5734983766,-4167.89833331616,-3971.3816220382,6407.79247232508,-9911.22515777364,-175994.422979849,1395796.35321167,-36620.1022861914,381297.389316778
"miami_housing","uni_loo",49,102951.350284184,650473.025132672,18.9742707115864,256.950092760013,11.2167221200174,-3.84698768296551,-4.66194918840509,-3.11010094215372,-2.55514836756947,-5.12973645786543,11.8272768235747,-1877.10772850074,-70391.8355621324,-11174.9552949036,-13119.0268057869,698.56547372504,24747.227882082,38037.9644543427,-14459.4665365478,-5213.49647028459,-12547.9465894105,-8703.37576944633,5754.63094679186,-3240.96109803921,-182143.690920678,1201563.11923574,-40744.5869234547,401876.554588601
"miami_housing","uni_loo",50,93269.4669192209,671277.135375612,19.3778857805233,258.080036678067,11.0382892285766,-3.25681600002199,-4.81973406390056,-3.13974411947999,-2.64062343683952,-5.29456504032175,11.6293789806948,-1659.75115773839,-63017.7657066257,-12864.0053245826,17441.8221275252,-11732.8637675898,28108.0247568308,20240.6149556468,-32031.2820411081,-18884.3651346161,-13024.6667211533,-3297.28495798608,19592.4787241946,4361.61228225546,-178040.175726404,1364398.71426704,-36809.0190751958,384994.705031712
