"dataset","method","split_id","u1","u2","u3","u4","u5","u6","u7"
"debutanizer","uni_loo",86,0.139171089521986,-0.785311939930763,-0.204344618145651,0.170856763842252,-0.293791351822929,-0.0808901705630098,-0.0584376688160002
"debutanizer","uni_loo",87,0.125653812890097,-0.53530023935227,-0.202379312109999,0.171644391318002,-0.257116028829672,-0.0718088817214551,-0.0469261064796324
"debutanizer","uni_loo",88,0.101996708110762,-0.528662099035871,-0.177311101311547,0.228118678575468,-0.204841645407647,-0.0195516676867915,0.000884272452092638
"debutanizer","uni_loo",89,0.130218150509723,-0.588964545004443,-0.196183138408153,0.161249667105092,-0.301499405602984,-0.0853678534377543,-0.0616257749444183
"debutanizer","uni_loo",90,0.145818139116468,-0.533922579247883,-0.189871587352996,0.18479112309799,-0.228488590239755,-0.060290555373256,-0.037101069073722
"debutanizer","uni_loo",91,0.0520020126186061,-0.617621732314852,-0.189137582796205,0.166746942907658,-0.280004514823666,-0.0917342846199002,-0.0669966278046391
"debutanizer","uni_loo",92,0.144650576472914,-0.627407324316397,-0.197244963580212,0.210714449739363,-0.218730245390919,-0.0506787121424747,-0.0253418118895753
"debutanizer","uni_loo",93,0.109717949314058,-0.768673554978057,-0.204052314563914,0.170602190322924,-0.288586570903992,-0.0904938167669421,-0.063092364207273
"debutanizer","uni_loo",94,0.111695028978371,-0.683754630451466,-0.199634813164328,0.174170122000893,-0.272462558424206,-0.0482601927710392,-0.0254987683552116
"debutanizer","uni_loo",95,0.078398546186297,-0.615398696087772,-0.204560051833881,0.145333673838112,-0.340717722258911,-0.0984298785481696,-0.077896324409726
"debutanizer","uni_loo",96,0.110192402685265,-0.565986549697279,-0.197778138644315,0.19315450414271,-0.260067884867997,-0.0615245201754788,-0.035812073951265
"debutanizer","uni_loo",97,0.140363845727389,-0.392472893760514,-0.189634751594718,0.140101906516868,-0.265465832970075,-0.0276061275724289,-0.0136509008005398
"debutanizer","uni_loo",98,0.0574670486286823,-0.526258495179622,-0.188176635861626,0.126678805538798,-0.260174515946253,-0.0446298103317828,-0.0294662721199674
"debutanizer","uni_loo",99,0.106949302591544,-0.745218021885359,-0.207369714839582,0.179647416313153,-0.276251471927942,-0.0755859476344458,-0.0491885301429095
"debutanizer","uni_loo",100,0.143129698470539,-0.693468760115581,-0.197261240586122,0.177339387335344,-0.284279587215243,-0.07090961226887,-0.048170379682623
"debutanizer","unilasso_loo_true",1,0.114254933026265,-0.285408305530537,-0.171184451334522,0.189743509427907,-0.314560984486226,0,0
"debutanizer","unilasso_loo_true",2,0.411597495088962,-0.394305353102576,-0.202789684841785,0.253395120786638,-0.372134791278928,0,0
"debutanizer","unilasso_loo_true",3,0.228067166520081,-0.256388561521505,-0.18544207164678,0.242830005639604,-0.38276264914066,0,0
"debutanizer","unilasso_loo_true",4,0.236182954173767,-0.372935037548802,-0.180995992404201,0.183336123153236,-0.376655988519719,0,0
"debutanizer","unilasso_loo_true",5,0.291813891186254,-0.337236553071234,-0.210507683473107,0.200256732585383,-0.35089457561859,0,0
"debutanizer","unilasso_loo_true",6,0.380818906347858,-0.166902951264662,-0.201134522239858,0.223110181814519,-0.322385165110741,0,0
"debutanizer","unilasso_loo_true",7,0.382148221354569,-0.408540883662395,-0.174495528777433,0.246229123818495,-0.354045465888408,0,0
"debutanizer","unilasso_loo_true",8,0.305646721607598,-0.274590443311759,-0.160034479255497,0.264940148363521,-0.364703244093531,0,0
"debutanizer","unilasso_loo_true",9,0.2891228739966,-0.199167444344488,-0.185805750666981,0.201543083993016,-0.283348098389155,0,0
"debutanizer","unilasso_loo_true",10,0.240603201477192,-0.255535896627526,-0.198030438095244,0.201219735972168,-0.368534201135522,0,0
"debutanizer","unilasso_loo_true",11,0.34288250782337,-0.49009929827303,-0.189492209086495,0.257163798660075,-0.369977876472709,0,0
"debutanizer","unilasso_loo_true",12,0.27198345282966,-0.301013358406317,-0.201322849859961,0.19971560896838,-0.341436469796019,0,0
"debutanizer","unilasso_loo_true",13,0.328266360319984,-0.460348335804627,-0.199985016288979,0.226369162478353,-0.38178690364059,0,0
"debutanizer","unilasso_loo_true",14,0.381964753483404,-0.26871932930091,-0.169524843015818,0.277998070281483,-0.295859292515005,0,0
"debutanizer","unilasso_loo_true",15,0.355382428308022,-0.231929561276942,-0.205509468491345,0.201247154077545,-0.334801754646343,0,0
"debutanizer","unilasso_loo_true",16,0.371510590602303,-0.253112275536305,-0.181221218213076,0.243543378466305,-0.374240659493672,0,0
"debutanizer","unilasso_loo_true",17,0.357366269567422,-0.292771419879437,-0.199802648166365,0.29399363876609,-0.392826350013477,0,0
