"dataset","method","split_id","AT","V","AP","RH"
"powerplant","unilasso_loo_false",23,-1.61970504609461,-0.33386866406746,0.147377151706225,0
"powerplant","unilasso_loo_false",24,-1.61144269467884,-0.332969878450294,0.171062714084105,0
"powerplant","unilasso_loo_false",25,-1.65380038878657,-0.322895637194435,0.148735576967598,0
"powerplant","unilasso_loo_false",26,-1.61961549019243,-0.328908845568956,0.158165309666426,0
"powerplant","unilasso_loo_false",27,-1.62866840467757,-0.331734735740738,0.151335446835308,0
"powerplant","unilasso_loo_false",28,-1.64048768195708,-0.32259544911047,0.141864379147176,0
"powerplant","unilasso_loo_false",29,-1.62983635923421,-0.328884264987402,0.137355153922853,0
"powerplant","unilasso_loo_false",30,-1.6321123269519,-0.326103685020591,0.164067997894948,0
"powerplant","unilasso_loo_false",31,-1.62480503485034,-0.334286687873325,0.150863281818085,0
"powerplant","unilasso_loo_false",32,-1.64604016112817,-0.325727377907,0.15119239694689,0
"powerplant","unilasso_loo_false",33,-1.64689409545097,-0.323440779433903,0.154833041347695,0
"powerplant","unilasso_loo_false",34,-1.6390566495392,-0.319902733268809,0.177252319694642,0
"powerplant","unilasso_loo_false",35,-1.64263805785959,-0.325959229603522,0.152638513819363,0
"powerplant","unilasso_loo_false",36,-1.63532423634072,-0.324611876136497,0.180611075483284,0
"powerplant","unilasso_loo_false",37,-1.66846818492347,-0.315047403127735,0.149743561769551,0
"powerplant","unilasso_loo_false",38,-1.62136230368147,-0.336902098120623,0.160475144316215,0
"powerplant","unilasso_loo_false",39,-1.62608938878458,-0.33115641208932,0.166826566529237,0
"powerplant","unilasso_loo_false",40,-1.63087237912146,-0.326142826700872,0.154099440428591,0
"powerplant","unilasso_loo_false",41,-1.62345766425275,-0.335930737395813,0.170094953881691,0
"powerplant","unilasso_loo_false",42,-1.64853608271704,-0.323103987916227,0.13861867817795,0
"powerplant","unilasso_loo_false",43,-1.6701922146499,-0.315417425952266,0.136653425241247,0
"powerplant","unilasso_loo_false",44,-1.6611105275809,-0.311144028246537,0.159784245059526,0
"powerplant","unilasso_loo_false",45,-1.6308954011156,-0.327669314374358,0.158777576376286,0
"powerplant","unilasso_loo_false",46,-1.62803175716053,-0.335167377299249,0.158767189722537,0
"powerplant","unilasso_loo_false",47,-1.64977999112758,-0.318075077257481,0.169063048266837,0
"powerplant","unilasso_loo_false",48,-1.63713443368247,-0.327273147686386,0.165664796914214,0
"powerplant","unilasso_loo_false",49,-1.63689560130222,-0.325699378392061,0.151790625349422,0
"powerplant","unilasso_loo_false",50,-1.63161337515489,-0.328672912982503,0.148752199967171,0
"powerplant","unilasso_loo_false",51,-1.62815227855288,-0.321545471124892,0.160343700396885,0
"powerplant","unilasso_loo_false",52,-1.62983535701475,-0.332216074813032,0.156526182163102,0
"powerplant","unilasso_loo_false",53,-1.6517555422145,-0.330369765375918,0.14447753631499,0
"powerplant","unilasso_loo_false",54,-1.60800104391742,-0.333088174288578,0.175603774773471,0
"powerplant","unilasso_loo_false",55,-1.62998035758795,-0.333283141520965,0.152739332728865,0
"powerplant","unilasso_loo_false",56,-1.62026861206669,-0.338748857649489,0.153428883415127,0
"powerplant","unilasso_loo_false",57,-1.62743673306034,-0.331967896672956,0.151982079570408,0
"powerplant","unilasso_loo_false",58,-1.64631281026148,-0.321127265764054,0.157542686502932,0
"powerplant","unilasso_loo_false",59,-1.64106346352615,-0.329012922453155,0.144670734670878,0
"powerplant","unilasso_loo_false",60,-1.61423749488625,-0.336548147419088,0.159643699755224,0
"powerplant","unilasso_loo_false",61,-1.63854457136129,-0.335900385822062,0.137544446317703,0
"powerplant","unilasso_loo_false",62,-1.5956670176061,-0.341851000231667,0.184253013775964,0
"powerplant","unilasso_loo_false",63,-1.65073589935327,-0.319043682243022,0.157587623271582,0
"powerplant","unilasso_loo_false",64,-1.65929763657391,-0.313876285309849,0.157946650448009,0
"powerplant","unilasso_loo_false",65,-1.64674489303996,-0.319445816164895,0.153758948096091,0
"powerplant","unilasso_loo_false",66,-1.62987502417536,-0.325679484845312,0.146033746661411,0
"powerplant","unilasso_loo_false",67,-1.62286355689931,-0.329345407949464,0.161997681311419,0
"powerplant","unilasso_loo_false",68,-1.59774287729222,-0.340949644731556,0.166834808573188,0
"powerplant","unilasso_loo_false",69,-1.63326567123707,-0.326322503376891,0.155904987442,0
"powerplant","unilasso_loo_false",70,-1.64135998238645,-0.31963808217813,0.160628285114242,0
"powerplant","unilasso_loo_false",71,-1.65539389524246,-0.319420484086507,0.146022869032632,0
"powerplant","unilasso_loo_false",72,-1.62637154568995,-0.336327359124332,0.155135208665407,0
"powerplant","unilasso_loo_false",73,-1.64262468641718,-0.324009759256097,0.153315612689345,0
"powerplant","unilasso_loo_false",74,-1.65097481194331,-0.324429074544045,0.161423155658423,0
"powerplant","unilasso_loo_false",75,-1.63624583509464,-0.329595274097796,0.143973892449465,0
"powerplant","unilasso_loo_false",76,-1.62646448745125,-0.327161482860505,0.164772011886385,0
"powerplant","unilasso_loo_false",77,-1.65081067109692,-0.325399558922436,0.1495858469231,0
"powerplant","unilasso_loo_false",78,-1.62729419580454,-0.332334386422823,0.164179783616281,0
"powerplant","unilasso_loo_false",79,-1.62323933593956,-0.328510451264412,0.156349403791376,0
"powerplant","unilasso_loo_false",80,-1.62666061506969,-0.340173670587666,0.141823570799207,0
"powerplant","unilasso_loo_false",81,-1.6414446363004,-0.330261941149105,0.154552227481864,0
"powerplant","unilasso_loo_false",82,-1.6484347386018,-0.319988535291336,0.145209502584867,0
"powerplant","unilasso_loo_false",83,-1.6175869737466,-0.339313812714966,0.167884045407176,0
"powerplant","unilasso_loo_false",84,-1.63745767156009,-0.323713229660582,0.155695318997609,0
"powerplant","unilasso_loo_false",85,-1.60828133616162,-0.333923987101635,0.168346290870144,0
"powerplant","unilasso_loo_false",86,-1.64979792225883,-0.321118097465029,0.146444897481772,0
"powerplant","unilasso_loo_false",87,-1.6319295383092,-0.330971487575016,0.15890786606696,0
"powerplant","unilasso_loo_false",88,-1.64888306486034,-0.318443048430088,0.149880975578461,0
"powerplant","unilasso_loo_false",89,-1.64562729170414,-0.320858207385593,0.149465952319052,0
"powerplant","unilasso_loo_false",90,-1.6466679465564,-0.325460945514127,0.145716950942495,0
"powerplant","unilasso_loo_false",91,-1.63533198113542,-0.32782713458036,0.1694469412094,0
"powerplant","unilasso_loo_false",92,-1.64841709875149,-0.331606277630161,0.141257197340096,0
"powerplant","unilasso_loo_false",93,-1.63505620361163,-0.328638379365464,0.156467756896493,0
